set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ; 
param k := 24;
param m := 5;
set Edges := (0,16) (0,18) (0,12) (0,7) (0,20) (1,21) (1,22) (1,18) (2,13) (3,13) (4,12) (4,10) (5,14) (5,8) (5,23) (6,10) (6,13) (7,22) (8,17) (8,22) (8,12) (9,21) (9,22) (10,18) (11,20) (11,12) (11,21) (12,19) (12,17) (13,18) (14,15) (14,18) (15,21) (16,19) (16,22) (17,21) (18,23) (20,22) (20,21) (22,24) ;
set EdgesPrime := (0,16) (0,18) (0,12) (0,7) (0,20) (1,21) (1,22) (1,18) (2,13) (3,13) (4,12) (4,10) (5,14) (5,8) (5,23) (6,10) (6,13) (7,22) (8,17) (8,22) (8,12) (9,21) (9,22) (10,18) (11,20) (11,12) (11,21) (12,19) (12,17) (13,18) (14,15) (14,18) (15,21) (16,19) (16,22) (17,21) (18,23) (20,22) (20,21) ;
param u := 
0 16 3
0 18 2
0 12 5
0 7 5
0 20 3
1 21 2
1 22 5
1 18 5
2 13 2
3 13 3
4 12 1
4 10 1
5 14 1
5 8 3
5 23 2
6 10 1
6 13 4
7 22 2
8 17 2
8 22 1
8 12 2
9 21 2
9 22 3
10 18 5
11 20 3
11 12 1
11 21 5
12 19 4
12 17 3
13 18 4
14 15 5
14 18 3
15 21 1
16 19 5
16 22 1
17 21 2
18 23 2
20 22 4
20 21 5
22 24 3
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
;
