set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ; 
param k := 24;
param m := 5;
set Edges := (0,15) (0,19) (0,12) (0,17) (0,21) (1,9) (1,14) (1,12) (1,19) (1,10) (1,24) (1,20) (2,5) (2,6) (3,17) (3,9) (3,6) (3,12) (4,18) (4,9) (5,15) (7,17) (8,18) (9,13) (9,17) (9,16) (10,15) (11,20) (11,14) (11,13) (12,15) (14,18) (15,18) (15,24) (17,23) (17,22) (17,24) (18,20) (19,24) (22,23) ;
set EdgesPrime := (0,15) (0,19) (0,12) (0,17) (0,21) (1,9) (1,14) (1,12) (1,19) (1,10) (1,20) (2,5) (2,6) (3,17) (3,9) (3,6) (3,12) (4,18) (4,9) (5,15) (7,17) (8,18) (9,13) (9,17) (9,16) (10,15) (11,20) (11,14) (11,13) (12,15) (14,18) (15,18) (17,23) (17,22) (18,20) (22,23) ;
param u := 
0 15 5
0 19 5
0 12 3
0 17 2
0 21 2
1 9 2
1 14 3
1 12 5
1 19 1
1 10 2
1 24 1
1 20 2
2 5 1
2 6 4
3 17 2
3 9 5
3 6 1
3 12 5
4 18 2
4 9 1
5 15 2
7 17 3
8 18 3
9 13 1
9 17 5
9 16 5
10 15 3
11 20 1
11 14 5
11 13 4
12 15 5
14 18 5
15 18 2
15 24 1
17 23 2
17 22 2
17 24 1
18 20 1
19 24 4
22 23 4
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
;
