set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 ; 
param k := 35;
param m := 6;
set Edges := (0,26) (0,5) (0,10) (0,15) (0,2) (0,28) (1,6) (2,25) (2,14) (2,27) (2,6) (3,9) (3,14) (3,11) (3,19) (3,4) (3,12) (3,20) (5,21) (6,19) (6,24) (6,10) (6,8) (7,16) (7,35) (7,34) (8,29) (8,31) (8,27) (8,16) (9,15) (9,12) (9,23) (9,16) (12,24) (12,19) (12,22) (13,27) (14,29) (14,24) (16,34) (17,23) (17,31) (17,26) (18,23) (18,24) (20,28) (20,27) (20,24) (21,30) (22,27) (23,30) (24,32) (26,30) (26,34) (27,31) (28,32) (29,32) (29,30) (33,35) ;
set EdgesPrime := (0,26) (0,5) (0,10) (0,15) (0,2) (0,28) (1,6) (2,25) (2,14) (2,27) (2,6) (3,9) (3,14) (3,11) (3,19) (3,4) (3,12) (3,20) (5,21) (6,19) (6,24) (6,10) (6,8) (7,16) (7,34) (8,29) (8,31) (8,27) (8,16) (9,15) (9,12) (9,23) (9,16) (12,24) (12,19) (12,22) (13,27) (14,29) (14,24) (16,34) (17,23) (17,31) (17,26) (18,23) (18,24) (20,28) (20,27) (20,24) (21,30) (22,27) (23,30) (24,32) (26,30) (26,34) (27,31) (28,32) (29,32) (29,30) ;
param u := 
0 26 6
0 5 4
0 10 6
0 15 4
0 2 5
0 28 4
1 6 5
2 25 4
2 14 6
2 27 1
2 6 4
3 9 2
3 14 3
3 11 3
3 19 2
3 4 5
3 12 2
3 20 4
5 21 6
6 19 5
6 24 6
6 10 5
6 8 1
7 16 2
7 35 1
7 34 1
8 29 5
8 31 1
8 27 1
8 16 4
9 15 1
9 12 3
9 23 4
9 16 2
12 24 6
12 19 1
12 22 2
13 27 1
14 29 3
14 24 4
16 34 5
17 23 4
17 31 1
17 26 6
18 23 4
18 24 2
20 28 5
20 27 1
20 24 4
21 30 5
22 27 1
23 30 3
24 32 5
26 30 3
26 34 3
27 31 4
28 32 2
29 32 1
29 30 4
33 35 3
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
;
