set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 ; 
param k := 35;
param m := 6;
set Edges := (0,12) (0,17) (0,33) (1,9) (1,22) (1,28) (2,21) (3,21) (3,12) (3,7) (4,18) (4,8) (4,35) (4,15) (4,19) (4,12) (4,11) (5,23) (6,13) (6,7) (6,12) (7,9) (7,12) (7,17) (8,34) (8,14) (8,35) (8,28) (9,25) (10,21) (10,15) (11,17) (11,15) (12,13) (12,21) (12,35) (13,34) (15,32) (16,23) (16,33) (16,24) (16,21) (17,34) (17,35) (18,22) (18,32) (20,24) (20,26) (21,27) (22,34) (22,24) (23,34) (24,30) (24,35) (24,31) (26,29) (26,33) (29,32) (29,34) (32,33) ;
set EdgesPrime := (0,12) (0,17) (0,33) (1,9) (1,22) (1,28) (2,21) (3,21) (3,12) (3,7) (4,18) (4,8) (4,15) (4,19) (4,12) (4,11) (5,23) (6,13) (6,7) (6,12) (7,9) (7,12) (7,17) (8,34) (8,14) (8,28) (9,25) (10,21) (10,15) (11,17) (11,15) (12,13) (12,21) (13,34) (15,32) (16,23) (16,33) (16,24) (16,21) (17,34) (18,22) (18,32) (20,24) (20,26) (21,27) (22,34) (22,24) (23,34) (24,30) (24,31) (26,29) (26,33) (29,32) (29,34) (32,33) ;
param u := 
0 12 1
0 17 2
0 33 1
1 9 2
1 22 3
1 28 3
2 21 2
3 21 6
3 12 2
3 7 6
4 18 4
4 8 2
4 35 4
4 15 4
4 19 4
4 12 5
4 11 6
5 23 2
6 13 2
6 7 6
6 12 5
7 9 6
7 12 4
7 17 1
8 34 6
8 14 4
8 35 5
8 28 5
9 25 4
10 21 6
10 15 5
11 17 5
11 15 3
12 13 5
12 21 2
12 35 4
13 34 5
15 32 1
16 23 3
16 33 4
16 24 5
16 21 6
17 34 2
17 35 5
18 22 1
18 32 5
20 24 6
20 26 2
21 27 2
22 34 4
22 24 5
23 34 6
24 30 4
24 35 5
24 31 6
26 29 6
26 33 2
29 32 2
29 34 3
32 33 6
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
;
