set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 ; 
param k := 48;
param m := 7;
set Edges := (0,4) (0,48) (0,3) (0,38) (1,25) (1,40) (1,37) (2,12) (2,10) (2,27) (2,14) (3,22) (3,10) (4,37) (4,32) (5,34) (6,8) (6,46) (7,46) (7,14) (7,26) (7,21) (7,47) (8,47) (8,14) (8,41) (8,39) (8,24) (9,11) (9,40) (9,44) (9,29) (9,27) (10,22) (10,32) (10,42) (11,25) (11,12) (12,24) (12,38) (13,23) (13,39) (13,47) (13,31) (14,23) (14,36) (15,38) (15,16) (15,35) (15,20) (15,36) (15,45) (16,39) (16,28) (17,18) (18,46) (19,36) (19,44) (19,40) (20,39) (20,35) (21,38) (21,45) (21,33) (22,47) (22,31) (23,32) (24,37) (25,27) (27,32) (28,30) (29,46) (31,36) (31,39) (31,38) (31,42) (32,33) (32,35) (34,44) (34,42) (35,48) (40,41) (41,48) (43,48) ;
set EdgesPrime := (0,4) (0,3) (0,38) (1,25) (1,40) (1,37) (2,12) (2,10) (2,27) (2,14) (3,22) (3,10) (4,37) (4,32) (5,34) (6,8) (6,46) (7,46) (7,14) (7,26) (7,21) (7,47) (8,47) (8,14) (8,41) (8,39) (8,24) (9,11) (9,40) (9,44) (9,29) (9,27) (10,22) (10,32) (10,42) (11,25) (11,12) (12,24) (12,38) (13,23) (13,39) (13,47) (13,31) (14,23) (14,36) (15,38) (15,16) (15,35) (15,20) (15,36) (15,45) (16,39) (16,28) (17,18) (18,46) (19,36) (19,44) (19,40) (20,39) (20,35) (21,38) (21,45) (21,33) (22,47) (22,31) (23,32) (24,37) (25,27) (27,32) (28,30) (29,46) (31,36) (31,39) (31,38) (31,42) (32,33) (32,35) (34,44) (34,42) (40,41) ;
param u := 
0 4 6
0 48 3
0 3 1
0 38 2
1 25 1
1 40 5
1 37 5
2 12 6
2 10 6
2 27 6
2 14 5
3 22 3
3 10 6
4 37 5
4 32 2
5 34 5
6 8 4
6 46 5
7 46 1
7 14 7
7 26 1
7 21 4
7 47 1
8 47 5
8 14 7
8 41 1
8 39 6
8 24 1
9 11 5
9 40 2
9 44 4
9 29 6
9 27 4
10 22 5
10 32 1
10 42 3
11 25 2
11 12 3
12 24 2
12 38 2
13 23 7
13 39 3
13 47 4
13 31 2
14 23 5
14 36 7
15 38 3
15 16 1
15 35 7
15 20 3
15 36 5
15 45 3
16 39 6
16 28 1
17 18 2
18 46 3
19 36 3
19 44 2
19 40 1
20 39 7
20 35 2
21 38 1
21 45 2
21 33 2
22 47 5
22 31 1
23 32 3
24 37 4
25 27 4
27 32 2
28 30 2
29 46 2
31 36 2
31 39 2
31 38 7
31 42 3
32 33 7
32 35 3
34 44 7
34 42 2
35 48 1
40 41 1
41 48 1
43 48 3
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
;
