set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 ; 
param k := 63;
param m := 8;
set Edges := (0,52) (0,11) (0,27) (1,43) (1,10) (1,2) (1,23) (1,19) (1,50) (2,33) (2,53) (2,4) (2,13) (2,18) (2,41) (3,14) (3,43) (4,24) (4,32) (5,21) (5,25) (5,22) (5,49) (5,39) (5,7) (5,63) (5,9) (6,37) (7,44) (7,37) (8,53) (8,26) (8,11) (9,20) (9,50) (10,20) (10,62) (10,56) (10,22) (10,28) (10,29) (11,52) (11,26) (12,61) (12,32) (12,46) (12,29) (12,31) (12,13) (13,50) (14,43) (14,41) (15,20) (16,33) (17,41) (17,36) (17,53) (17,30) (17,31) (18,21) (19,21) (19,38) (20,25) (20,59) (20,43) (21,36) (22,61) (22,52) (22,30) (22,25) (23,43) (24,51) (24,39) (25,40) (25,41) (26,29) (26,39) (26,50) (27,59) (28,33) (30,46) (30,50) (31,40) (31,34) (32,48) (32,36) (32,42) (34,51) (35,45) (35,62) (35,42) (36,55) (37,56) (37,41) (38,54) (38,40) (38,44) (39,54) (41,63) (42,53) (42,60) (46,57) (46,54) (47,52) (47,49) (47,62) (49,54) (50,60) (50,58) (52,60) (54,60) (60,61) ;
set EdgesPrime := (0,52) (0,11) (0,27) (1,43) (1,10) (1,2) (1,23) (1,19) (1,50) (2,33) (2,53) (2,4) (2,13) (2,18) (2,41) (3,14) (3,43) (4,24) (4,32) (5,21) (5,25) (5,22) (5,49) (5,39) (5,7) (5,9) (6,37) (7,44) (7,37) (8,53) (8,26) (8,11) (9,20) (9,50) (10,20) (10,62) (10,56) (10,22) (10,28) (10,29) (11,52) (11,26) (12,61) (12,32) (12,46) (12,29) (12,31) (12,13) (13,50) (14,43) (14,41) (15,20) (16,33) (17,41) (17,36) (17,53) (17,30) (17,31) (18,21) (19,21) (19,38) (20,25) (20,59) (20,43) (21,36) (22,61) (22,52) (22,30) (22,25) (23,43) (24,51) (24,39) (25,40) (25,41) (26,29) (26,39) (26,50) (27,59) (28,33) (30,46) (30,50) (31,40) (31,34) (32,48) (32,36) (32,42) (34,51) (35,45) (35,62) (35,42) (36,55) (37,56) (37,41) (38,54) (38,40) (38,44) (39,54) (42,53) (42,60) (46,57) (46,54) (47,52) (47,49) (47,62) (49,54) (50,60) (50,58) (52,60) (54,60) (60,61) ;
param u := 
0 52 3
0 11 5
0 27 6
1 43 5
1 10 4
1 2 6
1 23 3
1 19 5
1 50 8
2 33 4
2 53 6
2 4 4
2 13 3
2 18 4
2 41 7
3 14 8
3 43 8
4 24 1
4 32 5
5 21 1
5 25 1
5 22 2
5 49 1
5 39 2
5 7 2
5 63 6
5 9 4
6 37 3
7 44 8
7 37 7
8 53 1
8 26 7
8 11 2
9 20 6
9 50 1
10 20 2
10 62 6
10 56 1
10 22 7
10 28 2
10 29 6
11 52 6
11 26 8
12 61 2
12 32 5
12 46 5
12 29 8
12 31 1
12 13 5
13 50 6
14 43 8
14 41 8
15 20 5
16 33 8
17 41 8
17 36 8
17 53 7
17 30 8
17 31 2
18 21 8
19 21 4
19 38 2
20 25 3
20 59 7
20 43 8
21 36 6
22 61 8
22 52 3
22 30 4
22 25 3
23 43 7
24 51 8
24 39 2
25 40 6
25 41 1
26 29 8
26 39 3
26 50 2
27 59 2
28 33 5
30 46 4
30 50 1
31 40 6
31 34 6
32 48 6
32 36 2
32 42 5
34 51 3
35 45 3
35 62 1
35 42 6
36 55 6
37 56 1
37 41 6
38 54 4
38 40 8
38 44 3
39 54 1
41 63 6
42 53 7
42 60 7
46 57 3
46 54 1
47 52 8
47 49 5
47 62 8
49 54 1
50 60 2
50 58 4
52 60 2
54 60 7
60 61 5
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
58 1
59 1
60 1
61 1
62 1
63 1
;
