set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 ; 
param k := 63;
param m := 8;
set Edges := (0,9) (0,30) (0,38) (0,49) (1,60) (1,16) (1,29) (1,14) (2,46) (2,11) (2,43) (3,53) (4,8) (4,38) (4,48) (4,45) (4,44) (5,53) (5,51) (5,63) (5,55) (5,23) (6,34) (7,32) (7,13) (7,50) (7,31) (8,39) (8,38) (9,61) (9,25) (9,16) (10,33) (10,11) (10,44) (11,42) (11,21) (11,20) (12,27) (13,37) (13,20) (13,48) (14,40) (14,56) (15,38) (15,47) (16,33) (16,32) (16,39) (17,56) (17,31) (17,35) (17,34) (18,45) (19,52) (20,26) (21,55) (21,57) (21,33) (22,63) (22,32) (22,27) (23,53) (23,63) (23,51) (23,30) (23,60) (24,53) (24,33) (25,38) (26,53) (26,29) (26,44) (26,59) (27,30) (27,31) (28,43) (29,48) (30,43) (31,52) (31,61) (32,57) (32,44) (32,43) (34,51) (34,47) (34,35) (34,54) (36,58) (36,42) (37,38) (38,57) (38,44) (38,49) (41,53) (41,59) (41,56) (43,44) (43,59) (43,60) (43,56) (44,60) (44,53) (44,45) (45,50) (47,63) (48,56) (51,54) (53,56) (54,58) (55,62) (58,63) ;
set EdgesPrime := (0,9) (0,30) (0,38) (0,49) (1,60) (1,16) (1,29) (1,14) (2,46) (2,11) (2,43) (3,53) (4,8) (4,38) (4,48) (4,45) (4,44) (5,53) (5,51) (5,55) (5,23) (6,34) (7,32) (7,13) (7,50) (7,31) (8,39) (8,38) (9,61) (9,25) (9,16) (10,33) (10,11) (10,44) (11,42) (11,21) (11,20) (12,27) (13,37) (13,20) (13,48) (14,40) (14,56) (15,38) (15,47) (16,33) (16,32) (16,39) (17,56) (17,31) (17,35) (17,34) (18,45) (19,52) (20,26) (21,55) (21,57) (21,33) (22,32) (22,27) (23,53) (23,51) (23,30) (23,60) (24,53) (24,33) (25,38) (26,53) (26,29) (26,44) (26,59) (27,30) (27,31) (28,43) (29,48) (30,43) (31,52) (31,61) (32,57) (32,44) (32,43) (34,51) (34,47) (34,35) (34,54) (36,58) (36,42) (37,38) (38,57) (38,44) (38,49) (41,53) (41,59) (41,56) (43,44) (43,59) (43,60) (43,56) (44,60) (44,53) (44,45) (45,50) (48,56) (51,54) (53,56) (54,58) (55,62) ;
param u := 
0 9 6
0 30 1
0 38 2
0 49 4
1 60 1
1 16 2
1 29 2
1 14 3
2 46 7
2 11 4
2 43 1
3 53 6
4 8 8
4 38 7
4 48 8
4 45 3
4 44 8
5 53 3
5 51 4
5 63 8
5 55 8
5 23 1
6 34 1
7 32 7
7 13 3
7 50 6
7 31 4
8 39 1
8 38 2
9 61 7
9 25 3
9 16 3
10 33 2
10 11 1
10 44 3
11 42 8
11 21 5
11 20 8
12 27 7
13 37 1
13 20 4
13 48 2
14 40 6
14 56 1
15 38 2
15 47 5
16 33 4
16 32 3
16 39 4
17 56 5
17 31 1
17 35 6
17 34 7
18 45 3
19 52 6
20 26 2
21 55 6
21 57 1
21 33 1
22 63 7
22 32 5
22 27 5
23 53 8
23 63 1
23 51 4
23 30 3
23 60 4
24 53 2
24 33 1
25 38 1
26 53 5
26 29 7
26 44 1
26 59 1
27 30 3
27 31 8
28 43 7
29 48 8
30 43 1
31 52 5
31 61 7
32 57 3
32 44 4
32 43 2
34 51 2
34 47 5
34 35 3
34 54 5
36 58 7
36 42 5
37 38 6
38 57 6
38 44 6
38 49 1
41 53 1
41 59 4
41 56 3
43 44 4
43 59 6
43 60 1
43 56 3
44 60 6
44 53 7
44 45 2
45 50 3
47 63 6
48 56 7
51 54 6
53 56 6
54 58 8
55 62 6
58 63 1
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
58 1
59 1
60 1
61 1
62 1
63 1
;
