set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 ; 
param k := 63;
param m := 8;
set Edges := (0,56) (0,57) (0,34) (0,53) (0,19) (1,47) (1,9) (2,25) (2,4) (2,12) (2,36) (2,30) (2,27) (2,3) (3,28) (4,33) (4,47) (4,39) (5,26) (5,31) (5,22) (5,63) (6,30) (6,11) (6,55) (6,18) (6,56) (7,31) (8,61) (8,19) (8,28) (9,28) (10,30) (10,40) (10,33) (11,15) (11,34) (12,14) (12,33) (13,47) (13,44) (13,60) (13,40) (13,36) (14,27) (14,51) (14,61) (14,54) (15,51) (15,39) (15,27) (15,22) (16,40) (16,34) (16,20) (16,21) (17,57) (17,22) (18,36) (18,44) (19,62) (19,30) (20,62) (20,33) (20,23) (20,43) (21,56) (22,59) (22,42) (22,37) (23,36) (23,57) (24,50) (25,59) (27,45) (27,48) (27,31) (27,33) (29,31) (29,43) (29,33) (30,63) (30,54) (30,50) (31,62) (31,58) (31,40) (32,42) (33,58) (33,50) (34,52) (34,41) (34,59) (35,63) (35,44) (36,56) (37,51) (37,54) (38,46) (40,49) (41,58) (44,51) (45,52) (46,56) (47,57) (49,52) (49,59) (49,54) (54,59) (55,61) (56,57) (57,62) ;
set EdgesPrime := (0,56) (0,57) (0,34) (0,53) (0,19) (1,47) (1,9) (2,25) (2,4) (2,12) (2,36) (2,30) (2,27) (2,3) (3,28) (4,33) (4,47) (4,39) (5,26) (5,31) (5,22) (6,30) (6,11) (6,55) (6,18) (6,56) (7,31) (8,61) (8,19) (8,28) (9,28) (10,30) (10,40) (10,33) (11,15) (11,34) (12,14) (12,33) (13,47) (13,44) (13,60) (13,40) (13,36) (14,27) (14,51) (14,61) (14,54) (15,51) (15,39) (15,27) (15,22) (16,40) (16,34) (16,20) (16,21) (17,57) (17,22) (18,36) (18,44) (19,62) (19,30) (20,62) (20,33) (20,23) (20,43) (21,56) (22,59) (22,42) (22,37) (23,36) (23,57) (24,50) (25,59) (27,45) (27,48) (27,31) (27,33) (29,31) (29,43) (29,33) (30,54) (30,50) (31,62) (31,58) (31,40) (32,42) (33,58) (33,50) (34,52) (34,41) (34,59) (35,44) (36,56) (37,51) (37,54) (38,46) (40,49) (41,58) (44,51) (45,52) (46,56) (47,57) (49,52) (49,59) (49,54) (54,59) (55,61) (56,57) (57,62) ;
param u := 
0 56 3
0 57 2
0 34 8
0 53 6
0 19 8
1 47 7
1 9 6
2 25 5
2 4 5
2 12 2
2 36 5
2 30 3
2 27 7
2 3 2
3 28 6
4 33 1
4 47 2
4 39 1
5 26 1
5 31 1
5 22 6
5 63 8
6 30 8
6 11 7
6 55 5
6 18 3
6 56 8
7 31 3
8 61 3
8 19 6
8 28 3
9 28 6
10 30 6
10 40 5
10 33 4
11 15 5
11 34 1
12 14 6
12 33 1
13 47 2
13 44 7
13 60 4
13 40 6
13 36 1
14 27 2
14 51 6
14 61 1
14 54 3
15 51 7
15 39 5
15 27 1
15 22 7
16 40 3
16 34 3
16 20 7
16 21 8
17 57 7
17 22 1
18 36 1
18 44 1
19 62 2
19 30 2
20 62 7
20 33 4
20 23 6
20 43 3
21 56 3
22 59 2
22 42 6
22 37 1
23 36 3
23 57 3
24 50 3
25 59 5
27 45 5
27 48 4
27 31 3
27 33 1
29 31 8
29 43 2
29 33 4
30 63 7
30 54 2
30 50 4
31 62 2
31 58 3
31 40 2
32 42 2
33 58 2
33 50 3
34 52 8
34 41 8
34 59 1
35 63 3
35 44 6
36 56 4
37 51 6
37 54 6
38 46 3
40 49 5
41 58 1
44 51 6
45 52 8
46 56 1
47 57 1
49 52 6
49 59 1
49 54 4
54 59 3
55 61 1
56 57 2
57 62 4
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
58 1
59 1
60 1
61 1
62 1
63 1
;
