set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ;
param k := 7;
param m := 5;
set Edges :=  (1,2) (1,6) (2,3) (2,7) (2,1) (3,4) (3,8) (3,2) (4,5) (4,9) (4,3) (5,10) (5,4) (6,7) (6,11) (6,1) (7,8) (7,12) (7,6) (7,2) (8,9) (8,13) (8,7) (8,3) (9,10) (9,14) (9,8) (9,4) (10,5) (10,15) (10,9) (11,12) (11,16) (11,6) (12,13) (12,17) (12,11) (12,7) (13,14) (13,18) (13,12) (13,8) (14,15) (14,19) (14,13) (14,9) (15,10) (15,20) (15,14) (16,17) (16,21) (16,11) (17,18) (17,22) (17,16) (17,12) (18,19) (18,23) (18,17) (18,13) (19,20) (19,24) (19,18) (19,14) (20,15) (20,25) (20,19) (21,22) (21,16) (22,23) (22,17) (22,21) (23,24) (23,18) (23,22) (24,25) (24,19) (24,23) (25,20) (25,24) ;
set EdgesPrime :=  (1,2) (1,6) (2,3) (2,1) (3,4) (3,8) (3,2) (4,5) (4,9) (4,3) (5,4) (5,10) (6,11) (6,1) (8,9) (8,13) (8,3) (9,10) (9,14) (9,4) (9,8) (10,9) (10,15) (10,5) (11,12) (11,16) (11,6) (12,13) (12,17) (12,11) (13,14) (13,18) (13,8) (13,12) (14,15) (14,19) (14,9) (14,13) (15,14) (15,20) (15,10) (16,17) (16,21) (16,11) (17,18) (17,22) (17,12) (17,16) (18,19) (18,23) (18,13) (18,17) (19,20) (19,24) (19,14) (19,18) (20,19) (20,25) (20,15) (21,22) (21,16) (22,23) (22,17) (22,21) (23,24) (23,18) (23,22) (24,25) (24,19) (24,23) (25,24) (25,20) ;
param u :=          
   1 2  2
   1 6  5
   2 3  5
   2 7  2
   2 1  2
   3 4  4
   3 8  1
   3 2  5
   4 5  5
   4 9  1
   4 3  4
  5 10  3
   5 4  5
   6 7  2
  6 11  3
   6 1  5
   7 8  5
  7 12  4
   7 6  2
   7 2  2
   8 9  5
  8 13  5
   8 7  5
   8 3  1
  9 10  4
  9 14  1
   9 8  5
   9 4  1
  10 5  3
 10 15  5
  10 9  4
 11 12  5
 11 16  1
  11 6  3
 12 13  1
 12 17  2
 12 11  5
  12 7  4
 13 14  2
 13 18  2
 13 12  1
  13 8  5
 14 15  2
 14 19  4
 14 13  2
  14 9  1
 15 10  5
 15 20  3
 15 14  2
 16 17  3
 16 21  3
 16 11  1
 17 18  4
 17 22  2
 17 16  3
 17 12  2
 18 19  4
 18 23  2
 18 17  4
 18 13  2
 19 20  4
 19 24  5
 19 18  4
 19 14  4
 20 15  3
 20 25  3
 20 19  4
 21 22  3
 21 16  3
 22 23  2
 22 17  2
 22 21  3
 23 24  2
 23 18  2
 23 22  2
 24 25  5
 24 19  5
 24 23  2
 25 20  3
 25 24  5
;
