set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ;
param k := 22;
param m := 5;
set Edges :=  (1,2) (1,6) (2,3) (2,7) (2,1) (3,4) (3,8) (3,2) (4,5) (4,9) (4,3) (5,10) (5,4) (6,7) (6,11) (6,1) (7,8) (7,12) (7,6) (7,2) (8,9) (8,13) (8,7) (8,3) (9,10) (9,14) (9,8) (9,4) (10,5) (10,15) (10,9) (11,12) (11,16) (11,6) (12,13) (12,17) (12,11) (12,7) (13,14) (13,18) (13,12) (13,8) (14,15) (14,19) (14,13) (14,9) (15,10) (15,20) (15,14) (16,17) (16,21) (16,11) (17,18) (17,22) (17,16) (17,12) (18,19) (18,23) (18,17) (18,13) (19,20) (19,24) (19,18) (19,14) (20,15) (20,25) (20,19) (21,22) (21,16) (22,23) (22,17) (22,21) (23,24) (23,18) (23,22) (24,25) (24,19) (24,23) (25,20) (25,24) ;
set EdgesPrime :=  (1,2) (1,6) (2,3) (2,7) (2,1) (3,4) (3,8) (3,2) (4,5) (4,9) (4,3) (5,4) (5,10) (6,7) (6,11) (6,1) (7,8) (7,12) (7,2) (7,6) (8,9) (8,13) (8,3) (8,7) (9,10) (9,14) (9,4) (9,8) (10,9) (10,15) (10,5) (11,12) (11,16) (11,6) (12,13) (12,17) (12,7) (12,11) (13,14) (13,18) (13,8) (13,12) (14,15) (14,19) (14,9) (14,13) (15,14) (15,20) (15,10) (16,17) (16,21) (16,11) (17,18) (17,12) (17,16) (18,19) (18,23) (18,13) (18,17) (19,20) (19,24) (19,14) (19,18) (20,19) (20,25) (20,15) (21,16) (23,24) (23,18) (24,25) (24,19) (24,23) (25,24) (25,20) ;
param u :=          
   1 2  3
   1 6  4
   2 3  5
   2 7  3
   2 1  3
   3 4  1
   3 8  3
   3 2  5
   4 5  5
   4 9  4
   4 3  1
  5 10  5
   5 4  5
   6 7  3
  6 11  3
   6 1  4
   7 8  5
  7 12  1
   7 6  3
   7 2  3
   8 9  2
  8 13  5
   8 7  5
   8 3  3
  9 10  3
  9 14  2
   9 8  2
   9 4  4
  10 5  5
 10 15  2
  10 9  3
 11 12  3
 11 16  2
  11 6  3
 12 13  1
 12 17  3
 12 11  3
  12 7  1
 13 14  5
 13 18  4
 13 12  1
  13 8  5
 14 15  1
 14 19  4
 14 13  5
  14 9  2
 15 10  2
 15 20  2
 15 14  1
 16 17  4
 16 21  1
 16 11  2
 17 18  1
 17 22  1
 17 16  4
 17 12  3
 18 19  2
 18 23  5
 18 17  1
 18 13  4
 19 20  4
 19 24  1
 19 18  2
 19 14  4
 20 15  2
 20 25  1
 20 19  4
 21 22  3
 21 16  1
 22 23  2
 22 17  1
 22 21  3
 23 24  3
 23 18  5
 23 22  2
 24 25  3
 24 19  1
 24 23  3
 25 20  1
 25 24  3
;
