set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 ;
param k := 1;
param m := 6;
set Edges :=  (1,2) (1,7) (2,3) (2,8) (2,1) (3,4) (3,9) (3,2) (4,5) (4,10) (4,3) (5,6) (5,11) (5,4) (6,12) (6,5) (7,8) (7,13) (7,1) (8,9) (8,14) (8,7) (8,2) (9,10) (9,15) (9,8) (9,3) (10,11) (10,16) (10,9) (10,4) (11,12) (11,17) (11,10) (11,5) (12,6) (12,18) (12,11) (13,14) (13,19) (13,7) (14,15) (14,20) (14,13) (14,8) (15,16) (15,21) (15,14) (15,9) (16,17) (16,22) (16,15) (16,10) (17,18) (17,23) (17,16) (17,11) (18,12) (18,24) (18,17) (19,20) (19,25) (19,13) (20,21) (20,26) (20,19) (20,14) (21,22) (21,27) (21,20) (21,15) (22,23) (22,28) (22,21) (22,16) (23,24) (23,29) (23,22) (23,17) (24,18) (24,30) (24,23) (25,26) (25,31) (25,19) (26,27) (26,32) (26,25) (26,20) (27,28) (27,33) (27,26) (27,21) (28,29) (28,34) (28,27) (28,22) (29,30) (29,35) (29,28) (29,23) (30,24) (30,36) (30,29) (31,32) (31,25) (32,33) (32,26) (32,31) (33,34) (33,27) (33,32) (34,35) (34,28) (34,33) (35,36) (35,29) (35,34) (36,30) (36,35) ;
set EdgesPrime :=  (2,3) (2,8) (3,4) (3,9) (3,2) (4,5) (4,10) (4,3) (5,6) (5,11) (5,4) (6,5) (6,12) (7,8) (7,13) (8,9) (8,14) (8,2) (8,7) (9,10) (9,15) (9,3) (9,8) (10,11) (10,16) (10,4) (10,9) (11,12) (11,17) (11,5) (11,10) (12,11) (12,18) (12,6) (13,14) (13,19) (13,7) (14,15) (14,20) (14,8) (14,13) (15,16) (15,21) (15,9) (15,14) (16,17) (16,22) (16,10) (16,15) (17,18) (17,23) (17,11) (17,16) (18,17) (18,24) (18,12) (19,20) (19,25) (19,13) (20,21) (20,26) (20,14) (20,19) (21,22) (21,27) (21,15) (21,20) (22,23) (22,28) (22,16) (22,21) (23,24) (23,29) (23,17) (23,22) (24,23) (24,30) (24,18) (25,26) (25,31) (25,19) (26,27) (26,32) (26,20) (26,25) (27,28) (27,33) (27,21) (27,26) (28,29) (28,34) (28,22) (28,27) (29,30) (29,35) (29,23) (29,28) (30,29) (30,36) (30,24) (31,32) (31,25) (32,33) (32,26) (32,31) (33,34) (33,27) (33,32) (34,35) (34,28) (34,33) (35,36) (35,29) (35,34) (36,35) (36,30) ;
param u :=          
   1 2  1
   1 7  5
   2 3  1
   2 8  6
   2 1  1
   3 4  5
   3 9  3
   3 2  1
   4 5  2
  4 10  1
   4 3  5
   5 6  1
  5 11  3
   5 4  2
  6 12  5
   6 5  1
   7 8  2
  7 13  6
   7 1  5
   8 9  2
  8 14  3
   8 7  2
   8 2  6
  9 10  4
  9 15  3
   9 8  2
   9 3  3
 10 11  2
 10 16  4
  10 9  4
  10 4  1
 11 12  5
 11 17  4
 11 10  2
  11 5  3
  12 6  5
 12 18  1
 12 11  5
 13 14  6
 13 19  6
  13 7  6
 14 15  2
 14 20  3
 14 13  6
  14 8  3
 15 16  2
 15 21  1
 15 14  2
  15 9  3
 16 17  6
 16 22  6
 16 15  2
 16 10  4
 17 18  4
 17 23  3
 17 16  6
 17 11  4
 18 12  1
 18 24  6
 18 17  4
 19 20  6
 19 25  5
 19 13  6
 20 21  3
 20 26  1
 20 19  6
 20 14  3
 21 22  6
 21 27  6
 21 20  3
 21 15  1
 22 23  1
 22 28  1
 22 21  6
 22 16  6
 23 24  3
 23 29  2
 23 22  1
 23 17  3
 24 18  6
 24 30  5
 24 23  3
 25 26  3
 25 31  3
 25 19  5
 26 27  5
 26 32  4
 26 25  3
 26 20  1
 27 28  5
 27 33  6
 27 26  5
 27 21  6
 28 29  1
 28 34  5
 28 27  5
 28 22  1
 29 30  4
 29 35  6
 29 28  1
 29 23  2
 30 24  5
 30 36  4
 30 29  4
 31 32  1
 31 25  3
 32 33  4
 32 26  4
 32 31  1
 33 34  4
 33 27  6
 33 32  4
 34 35  5
 34 28  5
 34 33  4
 35 36  6
 35 29  6
 35 34  5
 36 30  4
 36 35  6
;
