set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 ;
param k := 13;
param m := 1;
set Edges :=  (1,2) (1,8) (2,3) (2,9) (2,1) (3,4) (3,10) (3,2) (4,5) (4,11) (4,3) (5,6) (5,12) (5,4) (6,7) (6,13) (6,5) (7,14) (7,6) (8,9) (8,15) (8,1) (9,10) (9,16) (9,8) (9,2) (10,11) (10,17) (10,9) (10,3) (11,12) (11,18) (11,10) (11,4) (12,13) (12,19) (12,11) (12,5) (13,14) (13,20) (13,12) (13,6) (14,7) (14,21) (14,13) (15,16) (15,22) (15,8) (16,17) (16,23) (16,15) (16,9) (17,18) (17,24) (17,16) (17,10) (18,19) (18,25) (18,17) (18,11) (19,20) (19,26) (19,18) (19,12) (20,21) (20,27) (20,19) (20,13) (21,14) (21,28) (21,20) (22,23) (22,29) (22,15) (23,24) (23,30) (23,22) (23,16) (24,25) (24,31) (24,23) (24,17) (25,26) (25,32) (25,24) (25,18) (26,27) (26,33) (26,25) (26,19) (27,28) (27,34) (27,26) (27,20) (28,21) (28,35) (28,27) (29,30) (29,36) (29,22) (30,31) (30,37) (30,29) (30,23) (31,32) (31,38) (31,30) (31,24) (32,33) (32,39) (32,31) (32,25) (33,34) (33,40) (33,32) (33,26) (34,35) (34,41) (34,33) (34,27) (35,28) (35,42) (35,34) (36,37) (36,43) (36,29) (37,38) (37,44) (37,36) (37,30) (38,39) (38,45) (38,37) (38,31) (39,40) (39,46) (39,38) (39,32) (40,41) (40,47) (40,39) (40,33) (41,42) (41,48) (41,40) (41,34) (42,35) (42,49) (42,41) (43,44) (43,36) (44,45) (44,37) (44,43) (45,46) (45,38) (45,44) (46,47) (46,39) (46,45) (47,48) (47,40) (47,46) (48,49) (48,41) (48,47) (49,42) (49,48) ;
set EdgesPrime :=  (1,2) (1,8) (2,3) (2,9) (2,1) (3,4) (3,10) (3,2) (4,5) (4,11) (4,3) (5,6) (5,12) (5,4) (6,7) (6,5) (7,6) (7,14) (8,9) (8,15) (8,1) (9,10) (9,16) (9,2) (9,8) (10,11) (10,17) (10,3) (10,9) (11,12) (11,18) (11,4) (11,10) (12,19) (12,5) (12,11) (14,21) (14,7) (15,16) (15,22) (15,8) (16,17) (16,23) (16,9) (16,15) (17,18) (17,24) (17,10) (17,16) (18,19) (18,25) (18,11) (18,17) (19,20) (19,26) (19,12) (19,18) (20,21) (20,27) (20,19) (21,20) (21,28) (21,14) (22,23) (22,29) (22,15) (23,24) (23,30) (23,16) (23,22) (24,25) (24,31) (24,17) (24,23) (25,26) (25,32) (25,18) (25,24) (26,27) (26,33) (26,19) (26,25) (27,28) (27,34) (27,20) (27,26) (28,27) (28,35) (28,21) (29,30) (29,36) (29,22) (30,31) (30,37) (30,23) (30,29) (31,32) (31,38) (31,24) (31,30) (32,33) (32,39) (32,25) (32,31) (33,34) (33,40) (33,26) (33,32) (34,35) (34,41) (34,27) (34,33) (35,34) (35,42) (35,28) (36,37) (36,43) (36,29) (37,38) (37,44) (37,30) (37,36) (38,39) (38,45) (38,31) (38,37) (39,40) (39,46) (39,32) (39,38) (40,41) (40,47) (40,33) (40,39) (41,42) (41,48) (41,34) (41,40) (42,41) (42,49) (42,35) (43,44) (43,36) (44,45) (44,37) (44,43) (45,46) (45,38) (45,44) (46,47) (46,39) (46,45) (47,48) (47,40) (47,46) (48,49) (48,41) (48,47) (49,48) (49,42) ;
param u :=          
   1 2  1
   1 8  4
   2 3  4
   2 9  1
   2 1  1
   3 4  3
  3 10  2
   3 2  4
   4 5  7
  4 11  1
   4 3  3
   5 6  3
  5 12  3
   5 4  7
   6 7  5
  6 13  6
   6 5  3
  7 14  6
   7 6  5
   8 9  3
  8 15  1
   8 1  4
  9 10  7
  9 16  5
   9 8  3
   9 2  1
 10 11  6
 10 17  7
  10 9  7
  10 3  2
 11 12  4
 11 18  2
 11 10  6
  11 4  1
 12 13  5
 12 19  4
 12 11  4
  12 5  3
 13 14  5
 13 20  6
 13 12  5
  13 6  6
  14 7  6
 14 21  7
 14 13  5
 15 16  4
 15 22  1
  15 8  1
 16 17  2
 16 23  6
 16 15  4
  16 9  5
 17 18  6
 17 24  7
 17 16  2
 17 10  7
 18 19  6
 18 25  2
 18 17  6
 18 11  2
 19 20  1
 19 26  5
 19 18  6
 19 12  4
 20 21  2
 20 27  2
 20 19  1
 20 13  6
 21 14  7
 21 28  2
 21 20  2
 22 23  3
 22 29  4
 22 15  1
 23 24  4
 23 30  1
 23 22  3
 23 16  6
 24 25  6
 24 31  3
 24 23  4
 24 17  7
 25 26  7
 25 32  7
 25 24  6
 25 18  2
 26 27  4
 26 33  3
 26 25  7
 26 19  5
 27 28  2
 27 34  1
 27 26  4
 27 20  2
 28 21  2
 28 35  6
 28 27  2
 29 30  5
 29 36  3
 29 22  4
 30 31  1
 30 37  3
 30 29  5
 30 23  1
 31 32  5
 31 38  5
 31 30  1
 31 24  3
 32 33  4
 32 39  6
 32 31  5
 32 25  7
 33 34  4
 33 40  3
 33 32  4
 33 26  3
 34 35  2
 34 41  5
 34 33  4
 34 27  1
 35 28  6
 35 42  4
 35 34  2
 36 37  1
 36 43  5
 36 29  3
 37 38  1
 37 44  4
 37 36  1
 37 30  3
 38 39  2
 38 45  1
 38 37  1
 38 31  5
 39 40  6
 39 46  2
 39 38  2
 39 32  6
 40 41  3
 40 47  7
 40 39  6
 40 33  3
 41 42  1
 41 48  6
 41 40  3
 41 34  5
 42 35  4
 42 49  2
 42 41  1
 43 44  2
 43 36  5
 44 45  4
 44 37  4
 44 43  2
 45 46  4
 45 38  1
 45 44  4
 46 47  6
 46 39  2
 46 45  4
 47 48  1
 47 40  7
 47 46  6
 48 49  4
 48 41  6
 48 47  1
 49 42  2
 49 48  4
;
