set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 ;
param k := 62;
param m := 1;
set Edges :=  (1,2) (1,9) (2,3) (2,10) (2,1) (3,4) (3,11) (3,2) (4,5) (4,12) (4,3) (5,6) (5,13) (5,4) (6,7) (6,14) (6,5) (7,8) (7,15) (7,6) (8,16) (8,7) (9,10) (9,17) (9,1) (10,11) (10,18) (10,9) (10,2) (11,12) (11,19) (11,10) (11,3) (12,13) (12,20) (12,11) (12,4) (13,14) (13,21) (13,12) (13,5) (14,15) (14,22) (14,13) (14,6) (15,16) (15,23) (15,14) (15,7) (16,8) (16,24) (16,15) (17,18) (17,25) (17,9) (18,19) (18,26) (18,17) (18,10) (19,20) (19,27) (19,18) (19,11) (20,21) (20,28) (20,19) (20,12) (21,22) (21,29) (21,20) (21,13) (22,23) (22,30) (22,21) (22,14) (23,24) (23,31) (23,22) (23,15) (24,16) (24,32) (24,23) (25,26) (25,33) (25,17) (26,27) (26,34) (26,25) (26,18) (27,28) (27,35) (27,26) (27,19) (28,29) (28,36) (28,27) (28,20) (29,30) (29,37) (29,28) (29,21) (30,31) (30,38) (30,29) (30,22) (31,32) (31,39) (31,30) (31,23) (32,24) (32,40) (32,31) (33,34) (33,41) (33,25) (34,35) (34,42) (34,33) (34,26) (35,36) (35,43) (35,34) (35,27) (36,37) (36,44) (36,35) (36,28) (37,38) (37,45) (37,36) (37,29) (38,39) (38,46) (38,37) (38,30) (39,40) (39,47) (39,38) (39,31) (40,32) (40,48) (40,39) (41,42) (41,49) (41,33) (42,43) (42,50) (42,41) (42,34) (43,44) (43,51) (43,42) (43,35) (44,45) (44,52) (44,43) (44,36) (45,46) (45,53) (45,44) (45,37) (46,47) (46,54) (46,45) (46,38) (47,48) (47,55) (47,46) (47,39) (48,40) (48,56) (48,47) (49,50) (49,57) (49,41) (50,51) (50,58) (50,49) (50,42) (51,52) (51,59) (51,50) (51,43) (52,53) (52,60) (52,51) (52,44) (53,54) (53,61) (53,52) (53,45) (54,55) (54,62) (54,53) (54,46) (55,56) (55,63) (55,54) (55,47) (56,48) (56,64) (56,55) (57,58) (57,49) (58,59) (58,50) (58,57) (59,60) (59,51) (59,58) (60,61) (60,52) (60,59) (61,62) (61,53) (61,60) (62,63) (62,54) (62,61) (63,64) (63,55) (63,62) (64,56) (64,63) ;
set EdgesPrime :=  (1,2) (1,9) (2,3) (2,10) (2,1) (3,4) (3,11) (3,2) (4,5) (4,12) (4,3) (5,6) (5,13) (5,4) (6,7) (6,14) (6,5) (7,8) (7,15) (7,6) (8,7) (8,16) (9,10) (9,17) (9,1) (10,11) (10,18) (10,2) (10,9) (11,12) (11,19) (11,3) (11,10) (12,13) (12,20) (12,4) (12,11) (13,14) (13,21) (13,5) (13,12) (14,15) (14,22) (14,6) (14,13) (15,16) (15,23) (15,7) (15,14) (16,15) (16,24) (16,8) (17,18) (17,25) (17,9) (18,19) (18,26) (18,10) (18,17) (19,20) (19,27) (19,11) (19,18) (20,21) (20,28) (20,12) (20,19) (21,22) (21,29) (21,13) (21,20) (22,23) (22,30) (22,14) (22,21) (23,24) (23,31) (23,15) (23,22) (24,23) (24,32) (24,16) (25,26) (25,33) (25,17) (26,27) (26,34) (26,18) (26,25) (27,28) (27,35) (27,19) (27,26) (28,29) (28,36) (28,20) (28,27) (29,30) (29,37) (29,21) (29,28) (30,31) (30,38) (30,22) (30,29) (31,32) (31,39) (31,23) (31,30) (32,31) (32,40) (32,24) (33,34) (33,41) (33,25) (34,35) (34,42) (34,26) (34,33) (35,36) (35,43) (35,27) (35,34) (36,37) (36,44) (36,28) (36,35) (37,38) (37,45) (37,29) (37,36) (38,39) (38,46) (38,30) (38,37) (39,40) (39,47) (39,31) (39,38) (40,39) (40,48) (40,32) (41,42) (41,49) (41,33) (42,43) (42,50) (42,34) (42,41) (43,44) (43,51) (43,35) (43,42) (44,45) (44,52) (44,36) (44,43) (45,46) (45,53) (45,37) (45,44) (46,47) (46,54) (46,38) (46,45) (47,48) (47,55) (47,39) (47,46) (48,47) (48,56) (48,40) (49,50) (49,57) (49,41) (50,51) (50,58) (50,42) (50,49) (51,52) (51,59) (51,43) (51,50) (52,53) (52,60) (52,44) (52,51) (53,54) (53,61) (53,45) (53,52) (54,55) (54,46) (54,53) (55,56) (55,63) (55,47) (55,54) (56,55) (56,64) (56,48) (57,58) (57,49) (58,59) (58,50) (58,57) (59,60) (59,51) (59,58) (60,61) (60,52) (60,59) (61,53) (61,60) (63,64) (63,55) (64,63) (64,56) ;
param u :=          
   1 2  4
   1 9  1
   2 3  3
  2 10  7
   2 1  4
