set Vertices := 0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 17 19 20 21 22 23 24 25 26 ; 
param k := 24;
param m := 1;
set Edges := (0,13) (0,1) (0,5) (1,9) (1,19) (1,6) (1,4) (1,5) (1,11) (1,24) (2,12) (2,3) (3,8) (3,12) (3,4) (4,12) (4,23) (6,17) (6,8) (7,8) (7,17) (8,24) (8,22) (8,21) (9,24) (9,22) (11,20) (11,24) (12,23) (12,14) (12,21) (13,15) (14,24) (14,15) (15,17) (19,22) (19,25) (19,26) (20,21) ;
set EdgesPrime := (0,13) (0,1) (0,5) (1,9) (1,19) (1,6) (1,4) (1,5) (1,11) (2,12) (2,3) (3,8) (3,12) (3,4) (4,12) (4,23) (6,17) (6,8) (7,8) (7,17) (8,22) (8,21) (9,22) (11,20) (12,23) (12,14) (12,21) (13,15) (14,15) (15,17) (19,22) (19,25) (19,26) (20,21) ;
param u := 
0 13 3
0 1 2
0 5 2
1 9 2
1 19 1
1 6 3
1 4 3
1 5 5
1 11 2
1 24 1
2 12 2
2 3 1
3 8 4
3 12 3
3 4 5
4 12 1
4 23 5
6 17 1
6 8 3
7 8 3
7 17 2
8 24 2
8 22 1
8 21 3
9 24 1
9 22 2
11 20 3
11 24 2
12 23 4
12 14 3
12 21 1
13 15 4
14 24 4
14 15 3
15 17 3
19 22 1
19 25 3
19 26 5
20 21 1
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
11 1
12 1
13 1
14 1
15 1
17 1
19 1
20 1
21 1
22 1
23 1
24 1
25 2
26 1
;
