set Vertices := 0 1 2 3 4 5 6 9 10 11 12 13 14 15 17 18 19 20 24 25 26 27 28 29 ; 
param k := 24;
param m := 5;
set Edges := (0,15) (0,19) (0,12) (0,17) (0,29) (1,9) (1,14) (1,12) (1,19) (1,10) (1,24) (1,20) (2,5) (2,6) (3,17) (3,9) (3,6) (3,12) (4,18) (4,9) (5,15) (9,13) (9,17) (9,28) (10,15) (11,20) (11,14) (11,13) (12,15) (14,18) (15,18) (15,24) (17,24) (17,25) (17,26) (18,20) (18,27) (19,24) ;
set EdgesPrime := (0,15) (0,19) (0,12) (0,17) (0,29) (1,9) (1,14) (1,12) (1,19) (1,10) (1,20) (2,5) (2,6) (3,17) (3,9) (3,6) (3,12) (4,18) (4,9) (5,15) (9,13) (9,17) (9,28) (10,15) (11,20) (11,14) (11,13) (12,15) (14,18) (15,18) (17,25) (17,26) (18,20) (18,27) ;
param u := 
0 15 5
0 19 5
0 12 3
0 17 2
0 29 2
1 9 2
1 14 3
1 12 5
1 19 1
1 10 2
1 24 1
1 20 2
2 5 1
2 6 4
3 17 2
3 9 5
3 6 1
3 12 5
4 18 2
4 9 1
5 15 2
9 13 1
9 17 5
9 28 5
10 15 3
11 20 1
11 14 5
11 13 4
12 15 5
14 18 5
15 18 2
15 24 1
17 24 1
17 25 4
17 26 3
18 20 1
18 27 3
19 24 4
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
17 1
18 1
19 1
20 1
24 1
25 2
26 1
27 1
28 1
29 1
;
