set Vertices := 0 2 3 4 5 6 7 8 11 12 13 14 15 16 17 19 20 21 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 ; 
param k := 35;
param m := 1;
set Edges := (0,33) (0,24) (0,13) (0,34) (0,16) (0,25) (2,16) (2,19) (3,13) (3,33) (4,20) (4,33) (5,34) (5,27) (5,17) (5,28) (6,22) (6,20) (6,29) (6,7) (6,27) (7,24) (7,19) (7,13) (7,8) (7,32) (8,28) (8,24) (8,13) (11,13) (11,19) (12,13) (12,25) (12,27) (13,30) (14,26) (14,29) (15,27) (15,21) (15,31) (15,37) (15,38) (16,25) (16,35) (17,35) (19,30) (20,26) (20,35) (21,32) (22,33) (24,32) (29,31) (29,35) (29,33) (29,39) (29,40) (30,34) (31,32) (33,36) ;
set EdgesPrime := (0,33) (0,24) (0,13) (0,34) (0,16) (0,25) (2,16) (2,19) (3,13) (3,33) (4,20) (4,33) (5,34) (5,27) (5,17) (5,28) (6,22) (6,20) (6,29) (6,7) (6,27) (7,24) (7,19) (7,13) (7,8) (7,32) (8,28) (8,24) (8,13) (11,13) (11,19) (12,13) (12,25) (12,27) (13,30) (14,26) (14,29) (15,27) (15,21) (15,31) (15,37) (15,38) (16,25) (19,30) (20,26) (21,32) (22,33) (24,32) (29,31) (29,33) (29,39) (29,40) (30,34) (31,32) (33,36) ;
param u := 
0 33 3
0 24 6
0 13 5
0 34 1
0 16 6
0 25 2
2 16 3
2 19 3
3 13 4
3 33 1
4 20 4
4 33 4
5 34 4
5 27 5
5 17 2
5 28 5
6 22 3
6 20 1
6 29 4
6 7 1
6 27 3
7 24 6
7 19 6
7 13 2
7 8 2
7 32 2
8 28 1
8 24 1
8 13 6
11 13 3
11 19 3
12 13 5
12 25 1
12 27 1
13 30 3
14 26 2
14 29 2
15 27 4
15 21 5
15 31 1
15 37 4
15 38 1
16 25 5
16 35 3
17 35 6
19 30 4
20 26 2
20 35 1
21 32 6
22 33 5
24 32 6
29 31 4
29 35 4
29 33 4
29 39 2
29 40 3
30 34 6
31 32 2
33 36 6
; 
param w := 
0 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
19 1
20 1
21 1
22 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
;
