set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 29 30 31 32 33 35 36 37 ; 
param k := 35;
param m := 1;
set Edges := (0,21) (0,3) (0,35) (1,33) (1,15) (1,16) (1,25) (2,31) (2,22) (2,11) (2,36) (3,27) (4,33) (4,20) (5,12) (5,31) (6,24) (6,23) (6,20) (7,27) (7,8) (7,14) (7,9) (8,11) (8,23) (8,33) (8,13) (9,17) (9,16) (10,13) (10,14) (10,24) (12,32) (12,24) (13,24) (14,15) (14,22) (14,23) (15,21) (16,32) (16,26) (17,29) (17,24) (17,35) (19,26) (19,21) (19,24) (19,23) (20,22) (20,26) (20,37) (21,25) (23,31) (24,26) (24,33) (25,30) (25,29) (26,27) (30,32) ;
set EdgesPrime := (0,21) (0,3) (1,33) (1,15) (1,16) (1,25) (2,31) (2,22) (2,11) (2,36) (3,27) (4,33) (4,20) (5,12) (5,31) (6,24) (6,23) (6,20) (7,27) (7,8) (7,14) (7,9) (8,11) (8,23) (8,33) (8,13) (9,17) (9,16) (10,13) (10,14) (10,24) (12,32) (12,24) (13,24) (14,15) (14,22) (14,23) (15,21) (16,32) (16,26) (17,29) (17,24) (19,26) (19,21) (19,24) (19,23) (20,22) (20,26) (20,37) (21,25) (23,31) (24,26) (24,33) (25,30) (25,29) (26,27) (30,32) ;
param u := 
0 21 1
0 3 4
0 35 6
1 33 6
1 15 1
1 16 2
1 25 1
2 31 6
2 22 1
2 11 6
2 36 2
3 27 3
4 33 3
4 20 6
5 12 4
5 31 5
6 24 3
6 23 5
6 20 2
7 27 3
7 8 4
7 14 2
7 9 4
8 11 6
8 23 6
8 33 6
8 13 5
9 17 2
9 16 6
10 13 4
10 14 5
10 24 4
12 32 6
12 24 4
13 24 6
14 15 1
14 22 2
14 23 1
15 21 4
16 32 3
16 26 6
17 29 1
17 24 3
17 35 5
19 26 3
19 21 2
19 24 1
19 23 1
20 22 4
20 26 3
20 37 3
21 25 6
23 31 6
24 26 4
24 33 2
25 30 2
25 29 1
26 27 1
30 32 5
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
29 1
30 1
31 1
32 1
33 1
35 1
36 1
37 2
;
