set Vertices := 0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 23 24 25 26 28 29 30 31 32 33 34 35 36 37 38 ; 
param k := 35;
param m := 6;
set Edges := (0,34) (0,15) (1,10) (1,23) (1,29) (2,31) (2,20) (2,11) (4,6) (4,33) (4,10) (5,7) (5,9) (5,13) (6,28) (6,8) (6,15) (6,37) (7,11) (7,21) (7,32) (7,33) (8,31) (9,24) (9,29) (10,26) (10,18) (10,12) (10,28) (10,20) (11,30) (11,14) (11,21) (11,17) (12,16) (13,15) (13,24) (13,35) (13,30) (14,23) (14,29) (14,20) (14,21) (15,28) (15,31) (15,18) (16,31) (16,23) (17,23) (18,25) (18,38) (24,32) (24,25) (25,34) (25,26) (26,35) (29,35) (31,36) (34,35) ;
set EdgesPrime := (0,34) (0,15) (1,10) (1,23) (1,29) (2,31) (2,20) (2,11) (4,6) (4,33) (4,10) (5,7) (5,9) (5,13) (6,28) (6,8) (6,15) (6,37) (7,11) (7,21) (7,32) (7,33) (8,31) (9,24) (9,29) (10,26) (10,18) (10,12) (10,28) (10,20) (11,30) (11,14) (11,21) (11,17) (12,16) (13,15) (13,24) (13,30) (14,23) (14,29) (14,20) (14,21) (15,28) (15,31) (15,18) (16,31) (16,23) (17,23) (18,25) (18,38) (24,32) (24,25) (25,34) (25,26) (31,36) ;
param u := 
0 34 4
0 15 4
1 10 6
1 23 3
1 29 5
2 31 2
2 20 6
2 11 1
4 6 1
4 33 2
4 10 4
5 7 3
5 9 5
5 13 1
6 28 4
6 8 1
6 15 4
6 37 1
7 11 6
7 21 1
7 32 5
7 33 5
8 31 3
9 24 5
9 29 1
10 26 5
10 18 4
10 12 4
10 28 2
10 20 2
11 30 2
11 14 4
11 21 4
11 17 5
12 16 3
13 15 1
13 24 2
13 35 6
13 30 3
14 23 4
14 29 1
14 20 2
14 21 2
15 28 5
15 31 1
15 18 6
16 31 5
16 23 2
17 23 4
18 25 3
18 38 5
24 32 1
24 25 6
25 34 4
25 26 3
26 35 4
29 35 1
31 36 3
34 35 3
; 
param w := 
0 1
1 1
2 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
20 1
21 1
23 1
24 1
25 1
26 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 2
38 1
;
