set Vertices := 0 1 3 4 6 7 8 9 10 11 12 13 15 16 17 18 20 21 22 23 24 26 28 29 32 33 34 35 36 37 38 39 40 41 42 ; 
param k := 35;
param m := 6;
set Edges := (0,12) (0,17) (0,33) (1,9) (1,22) (1,28) (3,21) (3,12) (3,7) (4,18) (4,8) (4,35) (4,15) (4,12) (4,11) (4,39) (6,13) (6,7) (6,12) (7,9) (7,12) (7,17) (8,34) (8,35) (8,28) (8,38) (9,40) (10,21) (10,15) (11,17) (11,15) (12,13) (12,21) (12,35) (13,34) (15,32) (16,23) (16,33) (16,24) (16,21) (17,34) (17,35) (18,22) (18,32) (20,24) (20,26) (21,36) (22,34) (22,24) (23,34) (23,37) (24,35) (24,41) (24,42) (26,29) (26,33) (29,32) (29,34) (32,33) ;
set EdgesPrime := (0,12) (0,17) (0,33) (1,9) (1,22) (1,28) (3,21) (3,12) (3,7) (4,18) (4,8) (4,15) (4,12) (4,11) (4,39) (6,13) (6,7) (6,12) (7,9) (7,12) (7,17) (8,34) (8,28) (8,38) (9,40) (10,21) (10,15) (11,17) (11,15) (12,13) (12,21) (13,34) (15,32) (16,23) (16,33) (16,24) (16,21) (17,34) (18,22) (18,32) (20,24) (20,26) (21,36) (22,34) (22,24) (23,34) (23,37) (24,41) (24,42) (26,29) (26,33) (29,32) (29,34) (32,33) ;
param u := 
0 12 1
0 17 2
0 33 1
1 9 2
1 22 3
1 28 3
3 21 6
3 12 2
3 7 6
4 18 4
4 8 2
4 35 4
4 15 4
4 12 5
4 11 6
4 39 4
6 13 2
6 7 6
6 12 5
7 9 6
7 12 4
7 17 1
8 34 6
8 35 5
8 28 5
8 38 4
9 40 4
10 21 6
10 15 5
11 17 5
11 15 3
12 13 5
12 21 2
12 35 4
13 34 5
15 32 1
16 23 3
16 33 4
16 24 5
16 21 6
17 34 2
17 35 5
18 22 1
18 32 5
20 24 6
20 26 2
21 36 2
22 34 4
22 24 5
23 34 6
23 37 2
24 35 5
24 41 4
24 42 6
26 29 6
26 33 2
29 32 2
29 34 3
32 33 6
; 
param w := 
0 1
1 1
3 1
4 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
15 1
16 1
17 1
18 1
20 1
21 1
22 1
23 1
24 1
26 1
28 1
29 1
32 1
33 1
34 1
35 1
36 2
37 1
38 1
39 1
40 1
41 1
42 1
;
