set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 27 28 29 30 31 33 34 35 36 37 39 41 42 43 44 45 48 49 50 51 52 53 54 55 ; 
param k := 48;
param m := 1;
set Edges := (0,11) (0,36) (0,18) (0,29) (0,24) (1,11) (1,5) (1,10) (2,19) (2,42) (2,23) (2,49) (3,5) (3,43) (3,41) (3,34) (3,30) (4,7) (4,34) (4,31) (5,31) (6,21) (6,16) (6,48) (6,31) (7,42) (7,22) (8,16) (8,30) (8,21) (9,28) (9,20) (9,44) (9,35) (10,45) (10,27) (10,43) (10,16) (11,19) (12,29) (12,48) (12,13) (13,48) (15,33) (15,28) (16,35) (16,19) (17,39) (17,30) (17,21) (17,43) (17,37) (18,36) (18,24) (20,33) (20,30) (20,53) (20,54) (21,41) (22,35) (22,43) (23,39) (23,37) (23,52) (24,39) (24,37) (24,27) (27,36) (27,33) (27,34) (28,45) (29,48) (30,36) (30,34) (31,50) (31,51) (33,55) (35,43) (35,44) (35,36) (39,48) (41,45) (42,43) ;
set EdgesPrime := (0,11) (0,36) (0,18) (0,29) (0,24) (1,11) (1,5) (1,10) (2,19) (2,42) (2,23) (2,49) (3,5) (3,43) (3,41) (3,34) (3,30) (4,7) (4,34) (4,31) (5,31) (6,21) (6,16) (6,31) (7,42) (7,22) (8,16) (8,30) (8,21) (9,28) (9,20) (9,44) (9,35) (10,45) (10,27) (10,43) (10,16) (11,19) (12,29) (12,13) (15,33) (15,28) (16,35) (16,19) (17,39) (17,30) (17,21) (17,43) (17,37) (18,36) (18,24) (20,33) (20,30) (20,53) (20,54) (21,41) (22,35) (22,43) (23,39) (23,37) (23,52) (24,39) (24,37) (24,27) (27,36) (27,33) (27,34) (28,45) (30,36) (30,34) (31,50) (31,51) (33,55) (35,43) (35,44) (35,36) (41,45) (42,43) ;
param u := 
0 11 6
0 36 7
0 18 5
0 29 1
0 24 5
1 11 4
1 5 1
1 10 5
2 19 2
2 42 1
2 23 1
2 49 1
3 5 2
3 43 3
3 41 7
3 34 4
3 30 2
4 7 2
4 34 7
4 31 6
5 31 6
6 21 3
6 16 1
6 48 7
6 31 6
7 42 3
7 22 3
8 16 6
8 30 2
8 21 5
9 28 7
9 20 2
9 44 7
9 35 2
10 45 3
10 27 1
10 43 1
10 16 2
11 19 4
12 29 7
12 48 4
12 13 3
13 48 2
15 33 1
15 28 4
16 35 5
16 19 4
17 39 4
17 30 2
17 21 6
17 43 1
17 37 2
18 36 5
18 24 5
20 33 6
20 30 5
20 53 7
20 54 3
21 41 1
22 35 3
22 43 3
23 39 6
23 37 6
23 52 6
24 39 5
24 37 4
24 27 1
27 36 4
27 33 6
27 34 2
28 45 5
29 48 6
30 36 7
30 34 2
31 50 4
31 51 3
33 55 6
35 43 4
35 44 7
35 36 6
39 48 4
41 45 5
42 43 4
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
27 1
28 1
29 1
30 1
31 1
33 1
34 1
35 1
36 1
37 1
39 1
41 1
42 1
43 1
44 1
45 1
48 1
49 1
50 2
51 1
52 1
53 1
54 1
55 1
;
