set Vertices := 0 1 2 3 4 5 6 8 10 11 12 13 14 15 16 18 19 20 21 23 24 25 26 28 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 ; 
param k := 48;
param m := 1;
set Edges := (0,4) (0,6) (0,2) (1,19) (1,3) (1,18) (2,4) (2,35) (2,11) (3,46) (3,38) (4,44) (4,12) (5,34) (5,40) (5,43) (6,28) (6,23) (6,13) (8,34) (8,30) (8,42) (8,21) (8,23) (10,13) (10,21) (10,34) (10,12) (11,26) (12,46) (12,14) (12,42) (12,33) (13,35) (14,28) (14,52) (15,46) (15,32) (15,19) (16,20) (16,48) (16,25) (16,32) (16,50) (16,51) (18,48) (18,38) (18,47) (18,24) (19,20) (20,42) (21,43) (23,30) (23,41) (23,40) (23,26) (24,35) (25,31) (25,36) (25,33) (26,36) (28,43) (30,40) (30,37) (30,38) (31,44) (33,54) (34,41) (34,38) (36,41) (36,38) (36,47) (37,48) (37,38) (40,41) (40,42) (41,43) (41,53) (42,48) (42,44) (43,45) (44,45) (47,49) ;
set EdgesPrime := (0,4) (0,6) (0,2) (1,19) (1,3) (1,18) (2,4) (2,35) (2,11) (3,46) (3,38) (4,44) (4,12) (5,34) (5,40) (5,43) (6,28) (6,23) (6,13) (8,34) (8,30) (8,42) (8,21) (8,23) (10,13) (10,21) (10,34) (10,12) (11,26) (12,46) (12,14) (12,42) (12,33) (13,35) (14,28) (14,52) (15,46) (15,32) (15,19) (16,20) (16,25) (16,32) (16,50) (16,51) (18,38) (18,47) (18,24) (19,20) (20,42) (21,43) (23,30) (23,41) (23,40) (23,26) (24,35) (25,31) (25,36) (25,33) (26,36) (28,43) (30,40) (30,37) (30,38) (31,44) (33,54) (34,41) (34,38) (36,41) (36,38) (36,47) (37,38) (40,41) (40,42) (41,43) (41,53) (42,44) (43,45) (44,45) (47,49) ;
param u := 
0 4 6
0 6 1
0 2 6
1 19 6
1 3 7
1 18 5
2 4 1
2 35 2
2 11 4
3 46 4
3 38 3
4 44 7
4 12 1
5 34 3
5 40 2
5 43 6
6 28 2
6 23 7
6 13 7
8 34 1
8 30 5
8 42 7
8 21 1
8 23 5
10 13 5
10 21 1
10 34 3
10 12 7
11 26 1
12 46 1
12 14 4
12 42 5
12 33 5
13 35 1
14 28 4
14 52 5
15 46 2
15 32 5
15 19 1
16 20 4
16 48 5
16 25 4
16 32 7
16 50 4
16 51 5
18 48 3
18 38 1
18 47 5
18 24 5
19 20 5
20 42 7
21 43 7
23 30 3
23 41 6
23 40 2
23 26 1
24 35 1
25 31 3
25 36 6
25 33 1
26 36 6
28 43 1
30 40 1
30 37 2
30 38 4
31 44 4
33 54 1
34 41 7
34 38 3
36 41 6
36 38 3
36 47 7
37 48 3
37 38 2
40 41 1
40 42 4
41 43 6
41 53 4
42 48 6
42 44 2
43 45 7
44 45 1
47 49 4
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
8 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
18 1
19 1
20 1
21 1
23 1
24 1
25 1
26 1
28 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 2
53 1
54 1
;
