set Vertices := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 23 24 25 27 28 29 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 50 51 52 53 ; 
param k := 48;
param m := 7;
set Edges := (1,3) (1,36) (1,24) (1,43) (1,25) (1,13) (1,6) (1,39) (2,45) (2,9) (2,12) (2,16) (2,39) (3,22) (3,23) (3,40) (3,7) (4,48) (4,17) (4,7) (5,33) (5,39) (5,43) (5,44) (6,29) (7,16) (7,37) (8,24) (8,37) (9,12) (9,14) (9,23) (9,46) (10,17) (10,39) (11,25) (11,33) (11,12) (13,28) (13,24) (13,14) (14,35) (14,38) (14,33) (14,49) (15,43) (15,19) (15,22) (15,35) (16,27) (17,44) (17,28) (18,47) (18,29) (18,32) (19,22) (19,40) (19,32) (19,23) (22,44) (23,38) (23,47) (24,41) (24,47) (24,50) (25,48) (25,52) (27,46) (28,36) (29,53) (33,43) (33,34) (34,46) (35,43) (37,43) (38,46) (39,41) (39,40) (40,45) (41,46) (43,51) (45,47) ;
set EdgesPrime := (1,3) (1,36) (1,24) (1,43) (1,25) (1,13) (1,6) (1,39) (2,45) (2,9) (2,12) (2,16) (2,39) (3,22) (3,23) (3,40) (3,7) (4,17) (4,7) (5,33) (5,39) (5,43) (5,44) (6,29) (7,16) (7,37) (8,24) (8,37) (9,12) (9,14) (9,23) (9,46) (10,17) (10,39) (11,25) (11,33) (11,12) (13,28) (13,24) (13,14) (14,35) (14,38) (14,33) (14,49) (15,43) (15,19) (15,22) (15,35) (16,27) (17,44) (17,28) (18,47) (18,29) (18,32) (19,22) (19,40) (19,32) (19,23) (22,44) (23,38) (23,47) (24,41) (24,47) (24,50) (25,52) (27,46) (28,36) (29,53) (33,43) (33,34) (34,46) (35,43) (37,43) (38,46) (39,41) (39,40) (40,45) (41,46) (43,51) (45,47) ;
param u := 
1 3 6
1 36 7
1 24 1
1 43 1
1 25 4
1 13 3
1 6 1
1 39 5
2 45 1
2 9 1
2 12 7
2 16 6
2 39 2
3 22 1
3 23 6
3 40 6
3 7 7
4 48 7
4 17 4
4 7 1
5 33 2
5 39 7
5 43 6
5 44 4
6 29 4
7 16 1
7 37 7
8 24 1
8 37 5
9 12 4
9 14 4
9 23 7
9 46 6
10 17 2
10 39 5
11 25 7
11 33 1
11 12 6
13 28 6
13 24 2
13 14 4
14 35 7
14 38 3
14 33 4
14 49 3
15 43 6
15 19 1
15 22 5
15 35 6
16 27 1
17 44 5
17 28 7
18 47 7
18 29 2
18 32 4
19 22 4
19 40 5
19 32 3
19 23 6
22 44 1
23 38 4
23 47 4
24 41 5
24 47 2
24 50 3
25 48 5
25 52 2
27 46 7
28 36 4
29 53 5
33 43 5
33 34 3
34 46 6
35 43 1
37 43 5
38 46 7
39 41 3
39 40 1
40 45 1
41 46 4
43 51 6
45 47 7
; 
param w := 
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
22 1
23 1
24 1
25 1
27 1
28 1
29 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
43 1
44 1
45 1
46 1
47 1
48 1
49 3
50 1
51 1
52 1
53 1
;
