set Vertices := 0 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 22 25 26 27 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 44 45 47 48 49 50 51 52 53 54 ; 
param k := 48;
param m := 7;
set Edges := (0,37) (0,22) (2,26) (2,8) (2,42) (2,47) (3,15) (3,19) (3,44) (3,43) (4,42) (4,34) (4,32) (4,20) (5,48) (5,20) (5,30) (6,18) (6,11) (6,38) (6,20) (7,37) (7,36) (7,52) (7,53) (8,14) (9,19) (9,26) (9,11) (9,15) (9,45) (10,43) (10,16) (10,38) (10,41) (11,34) (11,45) (13,34) (13,20) (13,26) (13,18) (14,37) (14,43) (15,17) (16,40) (16,44) (16,17) (16,43) (16,32) (18,48) (19,25) (19,30) (19,48) (20,40) (20,49) (22,41) (22,48) (22,37) (25,43) (26,42) (26,27) (26,39) (27,47) (28,34) (28,29) (29,30) (29,39) (29,34) (31,47) (31,48) (32,43) (32,47) (33,42) (33,48) (33,50) (34,37) (36,47) (36,54) (39,45) (39,44) (40,41) (44,51) (45,48) ;
set EdgesPrime := (0,37) (0,22) (2,26) (2,8) (2,42) (2,47) (3,15) (3,19) (3,44) (3,43) (4,42) (4,34) (4,32) (4,20) (5,20) (5,30) (6,18) (6,11) (6,38) (6,20) (7,37) (7,36) (7,52) (7,53) (8,14) (9,19) (9,26) (9,11) (9,15) (9,45) (10,43) (10,16) (10,38) (10,41) (11,34) (11,45) (13,34) (13,20) (13,26) (13,18) (14,37) (14,43) (15,17) (16,40) (16,44) (16,17) (16,43) (16,32) (19,25) (19,30) (20,40) (20,49) (22,41) (22,37) (25,43) (26,42) (26,27) (26,39) (27,47) (28,34) (28,29) (29,30) (29,39) (29,34) (31,47) (32,43) (32,47) (33,42) (33,50) (34,37) (36,47) (36,54) (39,45) (39,44) (40,41) (44,51) ;
param u := 
0 37 7
0 22 7
2 26 2
2 8 1
2 42 1
2 47 3
3 15 2
3 19 3
3 44 6
3 43 7
4 42 7
4 34 5
4 32 5
4 20 6
5 48 1
5 20 1
5 30 3
6 18 6
6 11 5
6 38 1
6 20 6
7 37 2
7 36 6
7 52 5
7 53 4
8 14 4
9 19 3
9 26 5
9 11 5
9 15 2
9 45 2
10 43 5
10 16 4
10 38 2
10 41 7
11 34 3
11 45 6
13 34 6
13 20 4
13 26 1
13 18 1
14 37 7
14 43 6
15 17 4
16 40 3
16 44 3
16 17 5
16 43 4
16 32 2
18 48 1
19 25 7
19 30 6
19 48 7
20 40 3
20 49 4
22 41 1
22 48 6
22 37 7
25 43 1
26 42 2
26 27 3
26 39 6
27 47 6
28 34 3
28 29 5
29 30 6
29 39 1
29 34 7
31 47 7
31 48 5
32 43 3
32 47 7
33 42 3
33 48 6
33 50 5
34 37 5
36 47 3
36 54 6
39 45 7
39 44 3
40 41 7
44 51 5
45 48 4
; 
param w := 
0 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
22 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
47 1
48 1
49 1
50 1
51 2
52 1
53 1
54 1
;
