set Vertices := 1 2 3 4 5 6 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 57 59 61 62 63 64 65 66 67 68 69 ; 
param k := 63;
param m := 1;
set Edges := (1,12) (1,61) (1,41) (1,63) (2,63) (3,57) (3,26) (3,56) (3,17) (4,47) (4,56) (4,57) (4,29) (4,49) (5,12) (5,42) (5,13) (6,14) (6,16) (6,10) (8,53) (8,23) (8,56) (8,51) (8,18) (9,49) (9,10) (10,37) (10,54) (10,56) (10,62) (10,53) (10,29) (11,47) (11,37) (12,35) (12,42) (13,32) (13,37) (13,57) (14,51) (14,17) (14,16) (14,59) (14,31) (16,41) (16,19) (17,57) (17,45) (17,21) (18,56) (18,62) (18,34) (18,43) (19,53) (20,24) (20,41) (21,46) (22,27) (22,32) (22,31) (22,28) (23,25) (23,52) (24,29) (25,56) (25,32) (26,36) (26,64) (26,65) (27,33) (27,63) (28,61) (28,53) (28,68) (29,56) (31,34) (31,44) (32,47) (32,52) (33,35) (34,49) (35,69) (36,50) (37,62) (37,67) (38,40) (38,46) (38,51) (38,57) (39,50) (39,61) (40,51) (41,44) (42,66) (43,61) (43,56) (45,56) (45,52) (46,51) (46,63) (47,54) (47,59) (47,50) (50,53) (52,61) (53,56) (53,55) (54,57) (55,59) (57,61) ;
set EdgesPrime := (1,12) (1,61) (1,41) (3,57) (3,26) (3,56) (3,17) (4,47) (4,56) (4,57) (4,29) (4,49) (5,12) (5,42) (5,13) (6,14) (6,16) (6,10) (8,53) (8,23) (8,56) (8,51) (8,18) (9,49) (9,10) (10,37) (10,54) (10,56) (10,62) (10,53) (10,29) (11,47) (11,37) (12,35) (12,42) (13,32) (13,37) (13,57) (14,51) (14,17) (14,16) (14,59) (14,31) (16,41) (16,19) (17,57) (17,45) (17,21) (18,56) (18,62) (18,34) (18,43) (19,53) (20,24) (20,41) (21,46) (22,27) (22,32) (22,31) (22,28) (23,25) (23,52) (24,29) (25,56) (25,32) (26,36) (26,64) (26,65) (27,33) (28,61) (28,53) (28,68) (29,56) (31,34) (31,44) (32,47) (32,52) (33,35) (34,49) (35,69) (36,50) (37,62) (37,67) (38,40) (38,46) (38,51) (38,57) (39,50) (39,61) (40,51) (41,44) (42,66) (43,61) (43,56) (45,56) (45,52) (46,51) (47,54) (47,59) (47,50) (50,53) (52,61) (53,56) (53,55) (54,57) (55,59) (57,61) ;
param u := 
1 12 6
1 61 6
1 41 6
1 63 2
2 63 3
3 57 8
3 26 8
3 56 4
3 17 8
4 47 8
4 56 6
4 57 1
4 29 2
4 49 5
5 12 1
5 42 4
5 13 6
6 14 8
6 16 3
6 10 3
8 53 7
8 23 2
8 56 2
8 51 2
8 18 5
9 49 1
9 10 8
10 37 5
10 54 8
10 56 1
10 62 6
10 53 7
10 29 3
11 47 1
11 37 5
12 35 5
12 42 5
13 32 6
13 37 3
13 57 5
14 51 6
14 17 5
14 16 4
14 59 3
14 31 3
16 41 2
16 19 5
17 57 5
17 45 6
17 21 6
18 56 1
18 62 4
18 34 2
18 43 8
19 53 1
20 24 2
20 41 2
21 46 4
22 27 1
22 32 6
22 31 1
22 28 5
23 25 5
23 52 6
24 29 8
25 56 2
25 32 8
26 36 4
26 64 2
26 65 1
27 33 6
27 63 3
28 61 5
28 53 6
28 68 8
29 56 3
31 34 6
31 44 3
32 47 3
32 52 6
33 35 8
34 49 5
35 69 8
36 50 3
37 62 6
37 67 2
38 40 5
38 46 3
38 51 4
38 57 2
39 50 3
39 61 4
40 51 6
41 44 5
42 66 8
43 61 7
43 56 8
45 56 1
45 52 5
46 51 8
46 63 8
47 54 5
47 59 1
47 50 1
50 53 3
52 61 1
53 56 2
53 55 4
54 57 1
55 59 1
57 61 3
; 
param w := 
1 1
2 1
3 1
4 1
5 1
6 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
49 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
59 1
61 1
62 1
63 1
64 2
65 1
66 1
67 1
68 1
69 1
;
